timestamp,match_id,team_a,team_b,predicted_winner,confidence,value_flag,actual_winner_x,team_a_heroes,team_b_heroes,actual_winner_y,actual_winner,radiant_team,dire_team,duration,start_time,team_a_power,team_b_power,team_a_synergy,team_b_synergy
2025-04-14 06:20:59,8254247760.0,RuleBreakers,Lucky Bulldogs,,,,,"[16, 26, 81, 85, 129]","[22, 27, 65, 72, 104]",,Lucky Bulldogs,RuleBreakers,Lucky Bulldogs,2014.0,1744611659.0,0.0,0.0,0.0,1.0
2025-04-14 06:10:55,8254242142.0,Mad Monkeys,Bright Crusaders,,,,,"[4, 5, 11, 14, 49]","[44, 61, 64, 86, 105]",,Mad Monkeys,Mad Monkeys,Bright Crusaders,1690.0,1744611055.0,0.0,0.0,1.0,1.0
2025-04-14 04:49:01,8254199529.0,Ninja Bros,Lighting Legends,,,,,"[28, 54, 101, 120, 131]","[2, 35, 44, 71, 86]",,Ninja Bros,Ninja Bros,Lighting Legends,1655.0,1744606141.0,0.0,0.0,4.0,3.0
2025-04-14 04:46:51,8254198634.0,Swift Knights,Shadow Avengers,,,,,"[8, 68, 91, 103, 120]","[19, 37, 38, 53, 110]",,Swift Knights,Swift Knights,Shadow Avengers,1712.0,1744606011.0,0.0,0.0,0.0,4.0
2025-04-14 04:05:21,8254173312.0,Lighting Legends,Ninja Bros,,,,,"[28, 35, 44, 86, 111]","[42, 71, 75, 102, 106]",,Lighting Legends,Lighting Legends,Ninja Bros,1877.0,1744603521.0,0.0,0.0,2.0,7.0
2025-04-14 01:00:54,8254083847.0,Wild Dragon,TOXIC TEAM,,,,,"[46, 68, 69, 70, 86]","[26, 38, 48, 91, 94]",,Wild Dragon,Wild Dragon,TOXIC TEAM,1576.0,1744592454.0,0.0,0.0,2.0,2.0
2025-04-13 23:38:00,8254044543.0,REAL ECLIPSE,Moonwalkers,,,,,"[14, 16, 46, 95, 128]","[42, 75, 102, 111, 126]",,REAL ECLIPSE,REAL ECLIPSE,Moonwalkers,1670.0,1744587480.0,0.0,0.0,2.0,1.0
2025-04-13 23:08:54,8254032946.0,Team Spirit,PARIVISION,,,,,"[16, 19, 34, 52, 121]","[38, 93, 94, 105, 114]",,Team Spirit,Team Spirit,PARIVISION,2412.0,1744585734.0,0.0,0.0,1.0,1.0
2025-04-13 22:07:05,8253997110.0,Vitality Warriors,HELLBEAR HEROES,,,,,"[35, 51, 54, 86, 98]","[14, 22, 48, 102, 105]",,HELLBEAR HEROES,Vitality Warriors,HELLBEAR HEROES,1915.0,1744582025.0,0.0,0.0,6.0,1.0
2025-04-13 22:01:35,8253995285.0,PARIVISION,Team Spirit,,,,,"[16, 46, 68, 78, 131]","[19, 62, 75, 94, 109]",,PARIVISION,PARIVISION,Team Spirit,2172.0,1744581695.0,0.0,0.0,3.0,2.0
2025-04-13 20:59:08,8253950663.0,PARIVISION,Team Spirit,,,,,"[10, 19, 38, 68, 131]","[7, 62, 75, 94, 109]",,PARIVISION,PARIVISION,Team Spirit,2268.0,1744577948.0,0.0,0.0,6.0,2.0
2025-04-13 19:56:26,8253889383.0,Meld z zaskoczenia,Frankfurt Beast Reborn,,,,,"[15, 21, 60, 84, 138]","[10, 29, 35, 43, 74]",,Frankfurt Beast Reborn,Meld z zaskoczenia,Frankfurt Beast Reborn,1958.0,1744574186.0,0.0,0.0,2.0,3.0
2025-04-13 19:03:48,8253834683.0,Frankfurt Beast Reborn,Meld z zaskoczenia,,,,,"[10, 26, 63, 96, 98]","[54, 81, 102, 108, 136]",,Frankfurt Beast Reborn,Frankfurt Beast Reborn,Meld z zaskoczenia,1727.0,1744571028.0,0.0,0.0,2.0,0.0
2025-04-13 18:00:04,8253754681.0,PARIVISION,Tundra Esports,,,,,"[46, 78, 106, 109, 131]","[10, 23, 55, 90, 103]",,PARIVISION,PARIVISION,Tundra Esports,4571.0,1744567204.0,0.0,0.0,2.0,2.0
2025-04-13 16:15:13,8253623162.0,Wкилеты,BRatiKI,,,,,"[19, 21, 29, 35, 64]","[72, 90, 94, 106, 131]",,BRatiKI,Wкилеты,BRatiKI,2933.0,1744560913.0,0.0,0.0,7.0,2.0
2025-04-13 14:56:29,8253508795.0,Bor Tactical Gaming, Team HaliFFat,,,,,"[19, 64, 71, 77, 94]","[26, 53, 87, 104, 120]",, Team HaliFFat,Bor Tactical Gaming, Team HaliFFat,2213.0,1744556189.0,0.0,0.0,3.0,3.0
2025-04-13 14:50:30,8253499480.0,HIPPOMEN,BRatiKI,,,,,"[39, 79, 86, 97, 99]","[13, 42, 44, 119, 131]",,BRatiKI,HIPPOMEN,BRatiKI,1999.0,1744555830.0,0.0,0.0,3.0,1.0
2025-04-13 14:17:32,8253446983.0,SevenGaming-T,Lazy,,,,,"[26, 35, 54, 60, 87]","[8, 29, 45, 49, 51]",,SevenGaming-T,SevenGaming-T,Lazy,2169.0,1744553852.0,0.0,0.0,2.0,2.0
2025-04-13 13:30:10,8253370185.0,Clever moves, Team HaliFFat,,,,,"[10, 15, 29, 51, 64]","[7, 14, 21, 37, 54]",, Team HaliFFat,Clever moves, Team HaliFFat,1923.0,1744551010.0,0.0,0.0,7.0,1.0
2025-04-13 13:27:06,8253365256.0,HIPPOMEN,Deep Sea Predators,,,,,"[7, 73, 79, 86, 107]","[15, 42, 46, 64, 138]",,HIPPOMEN,HIPPOMEN,Deep Sea Predators,2721.0,1744550826.0,0.0,0.0,2.0,6.0
2025-04-13 13:24:53,8253361822.0,KOROLI FIDA,TEAM EGGS,,,,,"[8, 17, 38, 64, 68]","[14, 44, 105, 114, 128]",,KOROLI FIDA,KOROLI FIDA,TEAM EGGS,1676.0,1744550693.0,0.0,0.0,3.0,2.0
2025-04-13 13:22:54,8253358741.0,Bor Tactical Gaming,Kastrula team,,,,,"[38, 51, 53, 77, 102]","[26, 72, 75, 98, 112]",,Bor Tactical Gaming,Bor Tactical Gaming,Kastrula team,2340.0,1744550574.0,0.0,0.0,2.0,2.0
