timestamp,match_id,team_a,team_b,predicted_winner,confidence,value_flag,actual_winner_x,team_a_heroes,team_b_heroes,actual_winner_y
2025-04-12 09:48:29,8251322080.0,Mad Monkeys,Foxy gaming,Foxy gaming,0.57,0.0,Foxy gaming,,,Dire
2025-04-12 09:03:06,8251287435.0,Flawless Goblins,Dark Rebellion,Dark Rebellion,0.6,0.0,Dark Rebellion,,,
2025-04-12 08:23:21,8251259156.0,Dark Rebellion,Flawless Goblins,Dark Rebellion,0.74,1.0,Dark Rebellion,,,
2025-04-12 07:59:44,8251240991.0,Yangon Galacticos,Ivory,Ivory,0.4748333333333333,0.0,Ivory,,,
2025-04-12 05:39:06,8251151245.0,TOXIC TEAM,Moonwalkers,TOXIC TEAM,0.4255,0.0,TOXIC TEAM,,,
2025-04-12 05:29:02,8251138373.0,PARIVISION,Team Liquid,PARIVISION,0.9,1.0,PARIVISION,,,Radiant
2025-04-12 05:03:10,8251131599.0,Moonwalkers,TOXIC TEAM,TOXIC TEAM,0.71,1.0,TOXIC TEAM,,,
2025-04-12 04:24:37,8251112232.0,TOXIC TEAM,Moonwalkers,TOXIC TEAM,0.4255,0.0,Moonwalkers,,,
2025-04-12 03:35:35,8251087600.0,Wild Dragon,HELLBEAR HEROES,Wild Dragon,0.64,0.0,Wild Dragon,,,
2025-04-12 03:03:14,8251069363.0,Team Liquid,PARIVISION,Team Liquid,0.77,1.0,Team Liquid,,,Radiant
2025-04-12 02:49:45,8251059647.0,HELLBEAR HEROES,Wild Dragon,Wild Dragon,0.54,0.0,Wild Dragon,,,
2025-04-12 02:12:24,8251037744.0,Night Vision,Vitality Warriors,Vitality Warriors,0.63,0.0,Vitality Warriors,,,
2025-04-12 01:34:52,8251008592.0,Vitality Warriors,Night Vision,Vitality Warriors,0.56,0.0,Vitality Warriors,,,
2025-04-12 00:52:13,8250970976.0,REAL ECLIPSE,Silent killer,Silent killer,0.64,0.0,Silent killer,,,
2025-04-12 00:37:02,8250942550.0,Nigma Galaxy,BetBoom Team,BetBoom Team,0.64,0.0,BetBoom Team,,,Dire
2025-04-12 00:03:42,8250921950.0,Chill,V for Vendeta,V for Vendeta,0.71,1.0,V for Vendeta,,,
2025-04-12 00:03:17,8250919496.0,Silent killer,REAL ECLIPSE,Silent killer,0.71,1.0,Silent killer,,,
2025-04-11 23:35:32,8250853805.0,BetBoom Team,Nigma Galaxy,BetBoom Team,0.89,1.0,BetBoom Team,,,Radiant
2025-04-11 23:00:28,8250846860.0,V for Vendeta,Chill,V for Vendeta,0.7,0.0,V for Vendeta,,,
2025-04-11 21:44:31,8250751980.0,Студените,Dulo,Студените,0.7,0.0,Студените,,,
2025-04-11 21:17:34,8250715424.0,5DOGS,hidden pool,5DOGS,0.77,1.0,5DOGS,,,
2025-04-11 21:09:10,8250704591.0,Dulo,Студените,Студените,0.67,0.0,Студените,,,
2025-04-11 21:05:53,8250699987.0,52turbo,Ni.VI,52turbo,0.61,0.0,52turbo,,,
2025-04-11 21:12:04,8250691749.0,Team Liquid,AVULUS,Team Liquid,0.78,1.0,Team Liquid,,,
2025-04-11 20:17:57,8250635425.0,4Pirates,Zero Tenacity,4Pirates,0.59,0.0,4Pirates,,,
2025-04-11 19:53:03,8250598379.0,Romashku,Air Defence,Air Defence,0.4823333333333334,0.0,Air Defence,,,
2025-04-11 19:59:40,8250569189.0,AVULUS,Team Liquid,Team Liquid,0.65,0.0,Team Liquid,,,
2025-04-11 18:54:50,8250507431.0,BloodyRose,Air Defence,Air Defence,0.4426666666666666,0.0,BloodyRose,,,
2025-04-11 18:42:32,8250492717.0,Bright Crusaders,Swift Knights,Bright Crusaders,0.526952380952381,0.0,Bright Crusaders,,,
2025-04-11 18:17:48,8250451899.0,Mine GG Soo BiGggggg！,羊村,羊村,0.58,0.0,羊村,,,
2025-04-11 18:13:50,8250448986.0,Shinigami Gaming,Teiko,Shinigami Gaming,0.69,0.0,Shinigami Gaming,,,
2025-04-11 18:03:35,8250433522.0,BloodyRose,Air Defence,Air Defence,0.4426666666666666,0.0,Air Defence,,,
2025-04-11 18:02:55,8250431523.0,Swift Knights,Bright Crusaders,Bright Crusaders,0.64,0.0,Bright Crusaders,,,
2025-04-11 18:01:32,8250430364.0,HYDRA,Bikini Bottom,Bikini Bottom,0.6641666666666667,0.0,Bikini Bottom,,,
2025-04-11 17:22:05,8250372584.0,Bright Crusaders,Swift Knights,Bright Crusaders,0.526952380952381,0.0,Swift Knights,,,
2025-04-11 17:25:03,8250371840.0,Air Defence,BloodyRose,BloodyRose,0.59,0.0,BloodyRose,,,
2025-04-11 17:19:33,8250369764.0,Radiant,WolfSmash.Gaming,Radiant,0.66,0.0,Radiant,,,
2025-04-11 17:19:59,8250369524.0,TEIKO,Shinigami Gaming,Shinigami Gaming,0.73,1.0,Shinigami Gaming,,,
2025-04-11 17:11:06,8250358172.0,SevenGaming-T,早睡早起,SevenGaming-T,0.65,0.0,SevenGaming-T,,,
2025-04-11 17:06:14,8250351584.0,还不走,小鸟队,还不走,0.61,0.0,还不走,,,
2025-04-11 17:00:18,8250337243.0,羊村,Mine GG Soo BiGggggg！,羊村,0.62,0.0,羊村,,,
2025-04-11 16:55:06,8250325248.0,Xtreme Gaming,Virtus.pro,Xtreme Gaming,0.5315000000000001,0.0,Xtreme Gaming,,,
2025-04-11 16:40:16,8250317150.0,Mad Monkeys,Wiser Warriors,Mad Monkeys,0.57,0.0,Mad Monkeys,,,
2025-04-13 13:23:02,8253042214.0,Ghost Sheep,BloodyRose,Ghost Sheep,0.71,1.0,Ghost Sheep,,,
2025-04-13 13:10:51,8253027523.0,Dark Rebellion,Mad Monkeys,Dark Rebellion,0.68,0.0,Dark Rebellion,,,Radiant
2025-04-13 12:21:45,8252972710.0,Dragon Blood,Shadow Avengers,Dragon Blood,0.65,0.0,Dragon Blood,,,
2025-04-13 12:09:27,8252958766.0,Romashku,Nethercore,Romashku,0.7283333333333333,1.0,Romashku,,,Radiant
2025-04-13 11:42:54,8252930709.0,Shadow Avengers,Dragon Blood,Dragon Blood,0.72,1.0,Dragon Blood,"[9, 19, 22, 48, 98]","[15, 53, 84, 106, 109]",Dragon Blood
2025-04-13 11:17:10,8252904847.0,Teiko,Dominion,Teiko,0.7,0.0,Teiko,"[19, 21, 34, 71, 91]","[2, 5, 60, 93, 120]",Teiko
2025-04-13 10:59:37,8252887160.0,Flawless Goblins,Wiser Warriors,Wiser Warriors,0.58,0.0,Wiser Warriors,,,Dire
2025-04-13 10:18:51,8252849583.0,Wiser Warriors,Flawless Goblins,Wiser Warriors,0.71,1.0,Wiser Warriors,,,Radiant
2025-04-13 10:16:24,8252847814.0,Dominion,Teiko,Dominion,0.68,0.0,Dominion,"[2, 35, 71, 75, 136]","[34, 43, 49, 52, 135]",Dominion
2025-04-13 09:30:22,8252809017.0,Bright Crusaders,Foxy gaming,Bright Crusaders,0.7458333333333335,1.0,Bright Crusaders,,,Radiant
2025-04-13 08:47:41,8252776056.0,Foxy gaming,Bright Crusaders,Foxy gaming,0.72,1.0,Foxy gaming,,,Radiant
2025-04-13 07:06:01,8252697513.0,PARIVISION,BetBoom Team,PARIVISION,0.87,1.0,PARIVISION,,,Radiant
2025-04-13 03:49:55,8252576577.0,BetBoom Team,PARIVISION,BetBoom Team,0.8,1.0,BetBoom Team,,,Radiant
2025-04-13 13:02:55,8253009800.0,L1GA TEAM,Virtus.pro,Virtus.pro,0.7573333333333333,1.0,Virtus.pro,,,Dire
,,PARIVISION,Team Spirit,PARIVISION,0.9,1.0,PARIVISION,,,
2025-04-13 22:07:05,8253997110.0,Vitality Warriors,HELLBEAR HEROES,HELLBEAR HEROES,0.65,0.0,HELLBEAR HEROES,"[35, 51, 54, 86, 98]","[14, 22, 48, 102, 105]",HELLBEAR HEROES
